p_rad,intersection_density,dead_end_density,mean_node_constraint,edge_degree_variance,circuity,orientation_entropy,edge_count
0,38.42373678910219,47.265380117931834,0.44613227715483067,0.32798165137614677,1.110791458779735,2.1672361164033376,218
1,41.41015371170568,45.14551517816182,0.41465736040609136,0.2817258883248731,1.0601459062550362,2.27699721041019,197
2,27.197438616573013,35.792311926258634,0.4075501014713343,0.2808219178082192,1.0305922119933002,2.5386503667686893,146
3,31.743171423568644,44.28688708400702,0.45046854082998655,0.28313253012048195,1.1475467282420642,2.5603636953326183,83
4,52.35171164755172,50.891485348762615,0.4325167181069959,0.2916666666666667,1.0520560068305094,2.7854784965437003,234
5,47.509462307972335,40.829346201406075,0.37159441638608304,0.2606060606060606,1.017744690314828,2.5905229629278725,165
6,11.212089780301486,13.951052531491555,0.39687353492733235,0.2974683544303797,1.0908398649752165,2.5376170698350804,79
7,41.498793835755215,37.83829696466803,0.3953232167352538,0.25925925925925924,1.063869892681682,2.758607053952532,135
8,32.0954157696949,31.409821648120733,0.40076388888888886,0.28343949044585987,1.0465030532321817,2.780057567447965,157
9,37.80438041668678,19.98179304151231,0.42116808050565535,0.1661676646706587,1.184723223291243,2.819684198291049,167
10,24.188472123705004,18.33121824827087,0.4004996413667188,0.25,1.051815012218584,2.6813026581988466,142
11,63.096749489205884,52.97958299625616,0.4436054771702919,0.32142857142857145,1.0504860110415928,2.775315094966321,126
12,30.90333469161209,20.276297775128544,1.0,0.0,1.0,2.7120324132722584,1
13,69.84970016297561,59.24935888873698,0.42573823823823825,0.23310810810810811,1.0768743071570297,2.728061023546751,74
14,27.36500506486838,19.185418133125605,1.0,0.0,1.0,2.673997800585801,1
15,63.82428332658607,56.98801110931976,0.39243175099982613,0.31338028169014087,1.0161888095194118,2.6705393647194873,213
16,33.02202137433466,29.410367990182362,0.4050127713920817,0.15804597701149425,1.0712894886981785,2.633900803149811,87
17,44.60460374645535,38.605475387862654,0.427,0.194,1.0492388230146112,2.5465979322254153,125
18,52.82899132935803,45.62670676715701,0.42351190476190476,0.32142857142857145,1.0498383533558973,2.5562352905592096,210
19,44.17586041310305,37.423715931349264,0.4232819649486316,0.25524475524475526,1.1343043120754346,2.769874727909225,143
20,61.58454548178421,53.186375697861116,0.41341883975812543,0.37755102040816324,1.033455509726865,2.764809787482392,196
21,66.18016066143365,62.06212407315824,0.42876039304610736,0.25,1.031638658765338,2.648207570666925,98
22,69.17603588091698,63.285479101551836,0.4190093708165997,0.4578313253012048,1.0283837427792266,2.704694728984849,83
23,33.290880084071226,30.958425455122416,0.43266966388353667,0.2976878612716763,1.0465146925474846,2.729511360610288,173
24,40.522244497218864,34.30140471084939,1.0,0.0,1.0,2.4739977330762204,1
25,15.710967173505122,14.501848761341485,0.41218022145857197,0.3170103092783505,1.0514521082770754,2.786113708509046,97
26,47.756917728221275,33.95431462243298,0.45460033721993603,0.18981481481481483,1.0923372241419764,2.833536779101687,108
27,30.979001248336385,10.63816534074001,0.37967324208266234,0.1108695652173913,1.1043761138323607,2.83044462675307,115
28,30.669420044883452,30.15827258232676,0.46748456790123455,0.306,1.1131441266324782,2.779587626446888,125
29,32.729237985440605,28.127872144009228,0.4184475584215167,0.21428571428571427,1.0660754300065913,2.7940270844889095,112
30,29.22860891700653,19.16981456602551,0.37651212488844266,0.18072289156626506,1.0295695500838729,2.7763096940289533,166
31,32.2051934751313,40.50257383499602,0.42557367149758457,0.28396739130434784,1.0349591021073121,2.5103500424086675,184
